source,doi_or_url,data_type,scale,measured_variable,extractable_data,parameter_informed,use,v_level
Kulkarni et al. (2021),https://pdfs.semanticscholar.org/b683/b7a6dc2f6af56304e9a278200718f1c5ca83.pdf,plate-load/load-settlement and UCS/permeability,laboratory plate,"qu, settlement, BCR, SRF, UCS",digitized square 120 mm curve and table summaries,"eta0, stiffness/service curve, initial bearing response",calibration and held-out response check,V3
Sharma et al. (2021),https://www.sciencedirect.com/science/article/pii/S0016706121004390,durability retention under wetting-drying and ageing,element/cylindrical specimens,"UPV, shear modulus, UCS, STS, mass loss","digitized retention at 0, 5, 10, 15, 20 cycles","lambda_e, eta_r, degradation-law selection",early-cycle calibration and late-cycle hold-out,V3
Rezende et al. (2022),https://link.springer.com/article/10.1007/s10706-021-02006-4,triaxial strength and stiffness,element/triaxial,"deviator stress, confining pressure, cohesion intercept",reported cohesion increase to about 75 kPa; figure data require verification,"cb0_prime, Delta tan phi split, anti-double-counting bounds",calibration constraint; requires verification for curve digitization,V3
Open-source limit analysis benchmark,local supplement,independent numerical mechanism,virtual footing,qu vs H/B,CSV generated by open-source limit-analysis script,thin-layer capping and H/B domain,V2 mechanistic audit and M8 input,V2-V4
OpenSeesPy and CalculiX audits,local supplement,independent FEM/serviceability checks,virtual footing,normalized capacity/stiffness/settlement trends,CSV generated by independent FEM scripts,"virtual degraded-footing trend, stiffness cap",M8 coupled virtual-footing evidence,V2-V4
DesignSafe PRJ-2453 / Nafisi et al. (2021),https://doi.org/10.17603/ds2-t1v1-tf58; https://doi.org/10.1007/s11440-021-01286-7,curated stress-path/shear response database,element/triaxial,"stress-path response, cementation level, particle size, shear response",curated DesignSafe database and related article,"Delta tan_phi, cb0_prime, stress-path/cementation bounds",component strength constraint and plausibility check,V3/V4
Ribeiro and Gomez (2023),https://doi.org/10.1061/JGGEFK.GTENG-11275,dissolution columns and reactive transport,element/soil column,CaCO3 dissolution under acid injections; geophysical/geochemical response,0/5/10/20/50 injection degradation sequence,"eta(t), eta_r, lambda_E",degradation-prior and falsification constraint,V3
Pusadkar et al. (2017),https://doi.org/10.9790/1684-140306100105,strip footing on MICP-treated slope,laboratory footing model,"UBC, BCR, footing distance from crest, incubation period",Table 2/3 and load-settlement trends,kH/kz trend plausibility; footing response trend,external footing-scale trend validation,V3/V4
Talamkhani (2023),https://doi.org/10.1155/2023/3692090,compiled UCS database,element/literature database,UCS and eight treatment/material variables,402 UCS tests and variable importance,strength prior bounds; CaCO3-to-strength plausibility,component strength envelope,V3
Ahmad et al. (2026),https://doi.org/10.1080/01490451.2026.2663806,compiled UCS database,element/literature database,"UCS, CaCO3, treatment cycles, calcium/urea, urease, particle/void variables",443 UCS test results reported in article summary,independent strength prior and dominant driver check,external recent strength evidence,V3
Tao et al. (2025a),https://doi.org/10.1038/s41598-025-06612-7,bearing capacity with acid and freeze-thaw durability,surface-crust specimen,"bearing capacity, crust thickness, weight loss, bearing-capacity loss after acid/freeze-thaw",published article/figures; summarized in direct_bearing_degradation_evidence_20260609.csv,"eta(t), eta_r, lambda_E, bearing-retention sensitivity",environmental degradation/retention constraint,V3
Tao et al. (2025b),https://doi.org/10.1038/s41598-025-15531-6,field MICP surface bearing/durability,field surface crust,"bearing capacity, erosion depth, crust thickness, dry-wet mass loss, permeability",field bearing values and durability summaries from open article,field bearing response and treated-zone/crust plausibility,field context and treated-zone contribution constraint,V3/V4
Meng et al. (2021),https://doi.org/10.1016/j.geoderma.2020.114723,field MICP surface bearing and wind erosion,field surface crust,"bearing capacity, crust thickness, CaCO3 content, erosion depth",published summary values; field bearing capacity up to 459.9 kPa,field MICP surface strength and persistence,field context and treated-zone plausibility,V3/V4
Zhang et al. (2024),https://doi.org/10.1007/s10064-024-03909-1,field MICP rainfall durability,field slope,"surface strength, eroded soil mass, accumulated rainfall, erosion morphology",open article summaries and field curves,"environmental degradation boundary, nonuniformity/localization triggers",falsification and exposure-clock boundary,V3/V4
Ji et al. (2024),https://doi.org/10.1029/2024WR037486,field/laboratory long-term MICP weathering,field slope/top soil,"CaCO3 content, depth profile, weathering duration, CaCO3 loss ratio",16-month weathering and CaCO3 retention/loss summaries,residual cementation and degradation retention,long-term weathering boundary,V3/V4
Martin et al. (2024),https://doi.org/10.1061/JGGEFK.GTENG-11635,field EICP plate-load analogue,field biocemented columns,"plate load capacity, stiffness, Vs, UCS proxy, CaCO3 content",published abstract values; factor 3 capacity/stiffness increase,field-scale carbonate biocementation contribution,"analogue check only, not MICP calibration",V4 analogue
Tao et al. (2025c),https://doi.org/10.1371/journal.pone.0332051,bearing capacity and freeze-thaw durability,surface-crust specimen,"bearing capacity, crust thickness, CaCO3, mass/strength retention",paper data and figures,"durability retention, bearing-capacity sensitivity to cemented matrix",environmental durability and bearing response constraint,V3
