source_id,citation_key,source_type,experimental_scope,AE_use,directness_level,usable_variables,limitation
DS-PRJ-2453,Nafisi and Montoya 2019; Nafisi et al. 2021,curated DesignSafe database + related article,Drained triaxial/stress-path response of bio-cemented sands with varying particle sizes and cementation levels.,Constrains c-prime/phi-prime increments and stress-path dependence of cemented sand strength.,V3 component strength; V4 when used with model hierarchy,"stress path, cementation level, particle size, shear response, shear-wave/cementation indicators",No footing geometry and no long-term environmental degradation sequence.
UCS-402-Talamkhani-2023,Talamkhani 2023,published compiled UCS database/model,402 unconfined compression tests on MICP-treated sands compiled from the literature.,Constrains UCS/CaCO3/treatment-factor priors and checks whether assumed strength increments are within published ranges.,V3 component strength,"D50, Cu, initial void ratio, CaCl2 concentration, urea concentration, urease activity, optical density, calcite content, UCS",UCS is not c-prime/phi-prime or footing capacity; environmental modification data are limited.
UCS-443-Ahmad-2026,Ahmad et al. 2026,published compiled UCS database/model,"443 UCS test results for MICP-treated sand using geotechnical, biological, and chemical inputs.","Independent recent check on dominant UCS drivers, especially calcium carbonate content, treatment cycles, calcium concentration, and urease activity.",V3 component strength,"mean grain size, Cu, void ratio, urease activity, urea/calcium concentration, treatment cycles, calcium carbonate content, UCS",No footing response and no direct degradation of shallow foundation capacity.
PLT-Kulkarni-2021,Kulkarni et al. 2021,"plate-load, UCS, permeability experiments",MICP-treated sands tested with PLT and UCS after curing; compared with untreated states.,Supports initial treated-zone bearing/stiffness plausibility and load-settlement calibration bounds.,V3/V4 footing-scale trend,"ultimate bearing capacity ratio, settlement reduction ratio, UCS, permeability, plate shape/size effects",Short-term cured tests; no long-term degradation sequence.
FOOTING-SLOPE-Pusadkar-2017,Pusadkar et al. 2017,model strip-footing load tests on MICP-treated sand slope,"Strip footing on untreated and MICP-treated 1.5H:1V sand slopes, with 14- and 28-day incubation and 0B/B/2B setback.",Supports footing-level bearing-ratio trend and geometry sensitivity.,V3/V4 footing-scale trend,"UBC, BCR, incubation period, footing distance from crest, treated vs untreated response",Slope geometry differs from level shallow foundation; no long-term degradation sequence.
DISSOLUTION-Ribeiro-Gomez-2023,Ribeiro and Gomez 2023,soil-column/batch dissolution experiments + reactive transport model,"MICP-treated poorly graded sand columns near 5% CaCO3 subjected to 0, 5, 10, 20, or 50 acidic dissolution injections.","Constrains eta(t), residual cementation, and environmental degradation priors.",V3 degradation component,"CaCO3 content, acidic injection count, geochemical/geophysical dissolution observations, calibrated kinetic model",Chemical permanence/dissolution evidence only; no mechanical footing capacity response.
DURABILITY-Sharma-2021,"Sharma et al. 2021a,b",durability/ageing experimental studies,"Biocemented sand response under wetting-drying, ageing, freeze-thaw/liquefaction-related weathering metrics.",Constrains retention factors and supports rejection of permanent-credit assumptions.,V3 durability component,"UCS/STS/UPV/retention, wetting-drying cycles, ageing period, mass loss/permeability indicators",Element-scale specimens; not footing-scale bearing-capacity degradation.
FIELD-PRJ-2119,Kavazanjian et al. 2020,DesignSafe field test-section dataset,Field MICP/MIDP test plots for slope stabilization and liquefaction-mitigation evaluation.,Demonstrates field-scale MICP test-section context for scale and deployment plausibility.,V4 field context only,"field test-section metadata, slope stabilization/liquefaction mitigation context",Does not directly calibrate level-footing bearing capacity or long-term degraded capacity.
BEARING-DURABILITY-Tao-2025a,Tao et al. 2025a,bearing-capacity and acid/freeze-thaw durability experiments,MICP-treated desert sand surface specimens measured for 60-day bearing capacity and exposed to acid and freeze-thaw durability cycles.,Constrains environmental bearing-capacity retention/loss and supports degradation priors.,V3 durability/bearing component,"bearing capacity, crust thickness, weight loss, bearing-capacity loss after acid exposure, bearing-capacity loss after freeze-thaw",Surface-crust/biopolymer study; not conventional shallow foundation PLT.
FIELD-MICP-Tao-2025b,Tao et al. 2025b,field MICP bearing-capacity and durability tests,"Taklimakan Desert field MICP trials on dunes and trapezoidal land with surface bearing, erosion, crust, dry-wet cycle, and permeability measurements.",Supports field-scale MICP surface bearing-capacity and treated-crust contribution plausibility.,V4 field context / V3 bearing component,"bearing capacity, erosion depth, crust thickness, dry-wet mass loss, permeability",Surface stabilization/wind erosion context; no foundation PLT.
FIELD-MICP-Meng-2021,Meng et al. 2021,field MICP wind-erosion/bearing-capacity tests,"Field tests on artificial mounds and bare sandy land; penetrometer bearing capacity, crust thickness, CaCO3, and wind exposure.",Supports field-scale MICP surface strength/crust persistence and durability trend.,V4 field context / V3 bearing component,"bearing capacity, crust thickness, CaCO3 content, wind exposure, erosion depth","Surface crust, not shallow footing PLT; weathering duration limited."
