component,source,role,metric_1,metric_2,interpretation
load_settlement,Kulkarni et al. 2021,calibration,NRMSE=0.057,MAPE=23.61%,Pre-ultimate branch defined by Table 6 qu.
load_settlement,Kulkarni et al. 2021,validation,NRMSE=0.221,MAPE=26.87%,Pre-ultimate branch defined by Table 6 qu.
load_settlement,Kulkarni et al. 2021,calibration,NRMSE=0.084,MAPE=48.20%,Pre-ultimate branch defined by Table 6 qu.
load_settlement,Kulkarni et al. 2021,validation,NRMSE=0.205,MAPE=24.96%,Pre-ultimate branch defined by Table 6 qu.
degradation_retention,Sharma et al. 2021,calibration,RMSE=0.000,MAPE=0.02%,Controlled environmental cycling series; used as durability-identifiability check.
degradation_retention,Sharma et al. 2021,validation,RMSE=0.139,MAPE=17.62%,Controlled environmental cycling series; used as durability-identifiability check.
external_range_check,Kulkarni et al. 2021,range_check,2.95-5.80,2.84-5.01,"Model lower endpoint differs by 0.11 ratio units; upper endpoint is 0.79 below the largest published ratio, so the benchmark is conservative at the high end."
external_range_check,Kulkarni et al. 2021,range_check,3.71-4.22,3.64-4.38,Model range brackets the reported square-plate range with endpoint differences of 0.07 and 0.16 ratio units.
external_range_check,Kulkarni et al. 2021,range_check,1.70-2.00,1.80-2.08,Model range is within 0.10 ratio units at the lower end and 0.08 at the upper end.
external_range_check,Kulkarni et al. 2021,range_check,2.38-3.31,2.42-3.40,Model range brackets the reported square-plate settlement reduction with endpoint differences of 0.04 and 0.09 ratio units.
external_range_check,Kulkarni et al. 2021,range_check,114.3-180.8 kPa; 58.18% increase,cb0 calibration band 20-35 kPa maps to design-screening ratios used in the bearing benchmark,Used to bound the cemented cohesion increment rather than to claim a direct UCS-to-footing conversion.
external_range_check,Sharma et al. 2021,range_check,"UPV, shear modulus, UCS, STS and mass loss measured after 0-20 wetting-drying cycles and 0-6 months ageing",eta_r=0.20-0.35 and lambda=0.012-0.060 1/yr leave 1.16-1.93 times untreated capacity at 50 years,"Used as a durability-persistence envelope, not as a digitized time-history calibration."
